    enrollment_no,name,father_name,course,specialization,academic_year,year_of_passing,particular,max_marks,min_marks,obtained,remarks

9IM08BCM53912,ABDUL HASEEB,ABDUL RASHEED,BACHELOR OF DEGREE,BACHELOR OF COMMERCE,2017-2018,2020,SEMESTER 1,1000,350,718,Pass

9IM08BCM53912,ABDUL HASEEB,ABDUL RASHEED,BACHELOR OF DEGREE,BACHELOR OF COMMERCE,2017-2018,2020,SEMESTER 2,2000,1000,1500,Pass

9IM08BCM53912,ABDUL HASEEB,ABDUL RASHEED,BACHELOR OF DEGREE,BACHELOR OF COMMERCE,2017-2018,2020,English,7785,787,878,Pass

ABDSKSDJFKJASKDJFL,JUNAID RASHEED,SADJKLFJLASDJFLK,ASDFJKLKSAD,SADKJFKASDSDF,ASFD,2021,SEMESTER 1,1000,350,800,Pass

ABDSKSDJFKJASKDJFL,JUNAID RASHEED,SADJKLFJLASDJFLK,ASDFJKLKSAD,SADKJFKASDSDF,ASFD,2021,SEMESTER 2,1000,350,400,Pass

helloworldvarindar,varindar,varindar father,btech,computer,2021,2023,SEMESTER 1,1000,200,500,Pass

helloworldvarindar,varindar,varindar father,btech,computer,2021,2023,dsg,45,57,452,Pass

sadf,asdf,asdf,ASDFJKLKSAD,asdf,2018,2022,asdf,455,54564,545,Pass

sadf,asdf,asdf,ASDFJKLKSAD,asdf,2018,2022,asd,45645,885,65,Fail

